,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
74,TTR28871003364030000,330.2388878,-1.75199,,0,CLOSURE,1,FRC6,0.4,0,0,-1
75,TTR28859460188013000,330.1795024,-1.7515,,0,CLOSURE,1,FRC5,0.5,0,0,-1
77,TTR22883779284018000,1297.24494,-9.81037,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
78,TTR24205294048055001,951.6552751,-6.93046,,0,CLOSURE,1,FRC7,0.3,0,0,-1
79,TTR27249434660010001,221.6950214,-0.84746,,0,ROADWORKS,0.6,FRC2,0.8,3,0,-1
80,TTR24762178748076000,801.5058341,-5.67922,,0,CLOSURE,1,FRC4,0.6,0,0,-1
81,TTR26184699748011000,400.5165395,-2.33764,,0,ROADWORKS,0.6,FRC3,0.7,6,0.1,-1
82,TTR23432045228277000,1125.644388,-8.38037,,0,CLOSURE,1,FRC5,0.5,0,0,-1
83,TTR23247330596012001,1220.903396,-9.17419,,0,CLOSURE,1,FRC4,0.6,0,0,-1
84,TTR27783226872019001,129.4969133,-0.07914,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
85,TTR26181813960022001,401.3356534,-2.34446,,0,CLOSURE,1,FRC6,0.4,0,0,-1
86,TTR28819064700012001,319.116791,-1.65931,,0,ACCIDENT,1,FRC4,0.6,0,0,-1
87,TTR24681378924002000,845.1040184,-6.04253,,0,ROADWORKS,0.6,FRC2,0.8,1,0,-1
88,TTR23293506492146000,1190.059578,-8.91716,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
89,TTR24906439412008000,790.3159751,-5.58597,,0,ROADWORKS,0.6,FRC0,1,0,0,-1
90,TTR22416363516077001,1391.418829,-10.59516,,0,ROADWORKS,0.6,FRC5,0.5,0,0,-1
92,TTR21804647688133001,1563.472314,-12.02894,,0,ROADWORKS,0.6,FRC5,0.5,0,0,-1
93,TTR28885430732062001,334.0518,-1.78377,,0,TRAFFIC_RESTRICTION,0.6,FRC6,0.4,0,0,-1
94,TTR28885430732062000,333.8973139,-1.78248,,0,TRAFFIC_RESTRICTION,0.6,FRC6,0.4,0,0,-1
95,TTR24473653996348000,856.0145911,-6.13345,,0,CLOSURE,1,FRC4,0.6,0,0,-1
97,TTR22687578108186000,1337.157237,-10.14298,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
98,TTR26184700404011001,400.4845085,-2.33737,,0,ROADWORKS,0.6,FRC3,0.7,29,1,-1
