,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
2934,TTL38800317460009000,True,186.20860415009219,-0.55174,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,123,0.1,-100.0
2935,TTR37374901076036000,False,472.0343515840186,-2.93362,0.0,CLOSURE,1,FRC4,0.6,,1,-0.066724
2936,TTL37242178964003000,True,334.9222372259499,-1.79102,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,319,0.2,-100.0
2937,TTR37363360048037000,False,459.6257783366582,-2.83021,0.0,CLOSURE,1,FRC5,0.5,,1,-0.06604199999999999
2938,TTR37409528372014000,False,427.4720991580792,-2.56227,0.0,CLOSURE,1,FRC6,0.4,,1,-0.03245399999999993
2939,TTL37825029240010001,True,429.91746796720486,-2.58265,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,128,0.1,-100.0
2940,TTR38970565744243000,False,144.365873905171,-0.20305,0.0,CLOSURE,1,FRC3,0.7,,1,0.49939
2941,TTL36595852308010000,True,217.7391709989252,-0.81449,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,208,0.1,-100.0
2942,TTR37822165884025001,False,2.7658945870890723,0.97695,1.0,ROADWORKS,0.6,FRC1,0.9,47,0.1,0.71539
2943,TTR37553796664020001,False,481.45269651143764,-3.01211,0.0,CLOSURE,1,FRC4,0.6,,1,-0.082422
2944,TTR37109447112035000,False,383.3267354592631,-2.19439,0.0,CLOSURE,1,FRC3,0.7,,1,0.10112200000000002
2945,TTL41094220384007000,True,511.6215116593687,-3.26351,0.0,JAM_UNCONDITIONAL,0.9,FRC7,0.3,204,0.1,-100.0
2946,TTR38520412336076000,False,509.52514121738926,-3.24604,0.0,CLOSURE,1,FRC4,0.6,,1,-0.129208
2947,TTL39152319940035000,True,528.1581949111014,-3.40132,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,115,0.1,-100.0
2948,TTL38638729960019000,True,239.1672144599462,-0.99306,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,155,0.1,-100.0
2949,TTL41319288192019000,True,487.67301409363137,-3.06394,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,470,0.3,-100.0
2950,TTR37784655588030002,False,3.992982005290471,0.96673,1.0,CLOSURE,1,FRC6,0.4,,1,0.873346
