,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
3817,TTL39380280292000000,341.6690264288099,-1.84724,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,68,0.1,-100.0
3818,TTR38736828744084000,342.192114081466,-1.8516,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3819,TTR38664703984010000,155.56109609628297,-0.29634,-100.0,0.0,CLOSURE,1,FRC2,0.8,,1,-100.0
3820,TTR39902542400041001,377.28439470411126,-2.14404,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
3821,TTR36304424168025000,246.65421047395472,-1.05545,-100.0,0.0,CLOSURE,1,FRC1,0.9,,1,-100.0
3822,TTR40580604988057000,601.7662462604585,-4.01472,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
3823,TTR36212089600068000,268.2866573403786,-1.23572,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3824,TTR36566989032027000,370.8828866802303,-2.09069,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3825,TTR39602447328014000,526.5136617046214,-3.38761,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3826,TTR38705096628020000,209.6696924724245,-0.74725,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3827,TTR39432209428028000,485.715452391186,-3.04763,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3828,TTR39221567908014001,570.7779532882552,-3.75648,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
