,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
2490,TTR37735603608013002,False,10.84574285790932,0.90962,0.5,CLOSURE,1,FRC5,0.5,,1,0.781924
7568,TTR37735603536013002,False,10.861152242365776,0.90949,0.5,CLOSURE,1,FRC5,0.5,,1,0.7818980000000001
1983,TTR37848134068037000,False,11.884384506330258,0.90096,0.5,CLOSURE,1,FRC5,0.5,,1,0.7801920000000001
6081,TTR37856790556037000,False,11.887666191029414,0.90094,0.5,CLOSURE,1,FRC5,0.5,,1,0.780188
4317,TTL37801967956009005,False,0.5786331974224513,0.99518,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,243,0.1,0.7790360000000001
2501,TTL37807738832011014_3,False,0.8120548611911198,0.99323,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,187,0.1,0.7786460000000002
5575,TTL37807738720033004_3,False,1.4263824747336404,0.98811,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,182,0.1,0.777622
1353,TTL37784655288033028,False,1.7002792733161352,0.98583,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,152,0.1,0.777166
7481,TTL37807738720033004,False,1.8596482676181372,0.9845,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,231,0.1,0.7769000000000001
8403,TTL37784655472009004_1,False,1.9403264327600402,0.98383,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,183,0.1,0.7767660000000001
2033,TTL37796197152017006,False,1.9606011234657323,0.98366,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,131,0.1,0.7767320000000002
909,TTR37894301844045001,False,13.979642584338743,0.8835,0.5,CLOSURE,1,FRC5,0.5,,1,0.7767000000000001
347,TTL37804853372009018,False,2.2352980273049528,0.98137,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,190,0.1,0.7762740000000001
537,TTL37825051356017006_1,False,2.8016005367935994,0.97665,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,257,0.1,0.7753300000000001
640,TTL37825051356017006,False,2.851505725784945,0.97624,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,205,0.1,0.7752480000000002
3371,TTL37778884564009003,False,3.0433550661352826,0.97464,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,122,0.1,0.7749280000000001
8013,TTL37822165824027011_1,False,3.1347676458917233,0.97388,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,82,0.1,0.7747760000000001
4048,TTL37822165860009023_1,False,3.167050265102574,0.97361,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,265,0.1,0.7747220000000001
4046,TTL37822165860009023_3,False,3.167050265102574,0.97361,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,272,0.1,0.7747220000000001
420,TTL37819280336017028,False,3.186230220443702,0.97345,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,126,0.1,0.7746900000000001
5738,TTR37914499116021002,False,15.240698552552418,0.87299,0.5,CLOSURE,1,FRC5,0.5,,1,0.774598
2039,TTR37914499044021002,False,15.256201633030289,0.87286,0.5,CLOSURE,1,FRC5,0.5,,1,0.7745719999999999
8201,TTL37819280444017031_2,False,3.3625555703701853,0.97198,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,138,0.1,0.7743960000000001
8266,TTL37830822304001005_1,False,3.3642272771455346,0.97196,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,176,0.1,0.7743920000000002
3566,TTL37807738640009004_1,False,3.4060575190065747,0.97162,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,235,0.1,0.774324
1069,TTL37822165896017021,False,3.601306654541252,0.96999,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,223,0.1,0.7739980000000002
3607,TTL37775998964019004_1,False,3.6029537706872232,0.96998,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,164,0.1,0.7739960000000001
3602,TTL37775998964019004_3,False,3.6029537706872232,0.96998,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,141,0.1,0.7739960000000001
4521,TTL37775998964019004,False,3.6029537706872232,0.96998,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,217,0.1,0.7739960000000001
5843,TTL37819280444017031,False,3.607804916765936,0.96993,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,170,0.1,0.7739860000000001
8126,TTL37784655272011001_2,False,3.6520128391117086,0.96957,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,198,0.1,0.7739140000000002
2952,TTR37784655588030001,False,4.024370443595898,0.96646,0.5,CLOSURE,1,FRC6,0.4,,1,0.773292
4907,TTR37833707748014000,False,4.214000544007324,0.96488,0.5,CLOSURE,1,FRC6,0.4,,1,0.772976
3589,TTR37836592932014000,False,4.350220395465644,0.96375,0.5,CLOSURE,1,FRC6,0.4,,1,0.77275
